04:13 ;		 		ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;              	ValAcc; 	LR
04:13 ;		 		1; 	   6;  		0; 		0; 		0.6964190839284874;  0.46987951807228917;  0.6844775915145874;  	0.7; 		0.0008
04:14 ;		 		1; 	   6;  		0; 		1; 		0.673096253929368;   0.6626506024096386;   0.6692372798919678;  	0.7; 		0.0008
04:15 ;		 		1; 	   6;  		0; 		2; 		0.6578437858317272;  0.7590361445783133;   0.6561217784881592;  	0.7; 		0.0008
04:15 ;		 		1; 	   6;  		0; 		3; 		0.6427873035511339;  0.7108433734939759;   0.6508355855941772;  	0.7; 		0.0008
04:16 ;		 		1; 	   6;  		0; 		4; 		0.626433746642377;   0.7349397590361446;   0.6346700191497803;  	0.5; 		0.0008
04:16 ;		 		1; 	   6;  		0; 		5; 		0.606322616697794;   0.7228915662650602;   0.6327584981918335;  	0.5; 		0.0008
04:17 ;		 		1; 	   6;  		0; 		6; 		0.5821450970259058;  0.7469879518072289;   0.6099665641784668;  	0.6; 		0.0008
04:18 ;		 		1; 	   6;  		0; 		7; 		0.5784182602382568;  0.7831325301204819;   0.680917501449585;   	0.5; 		0.0008
04:18 ;		 		1; 	   6;  		0; 		8; 		0.5274666655494507;  0.7951807228915663;   0.5772682189941406;  	0.6; 		0.0008
04:19 ;		 		1; 	   6;  		0; 		9; 		0.5204933716590145;  0.8072289156626506;   0.530184143781662;   	0.7; 		0.0008
04:20 ;		 		1; 	   6;  		0; 		10;		0.5106293349021889;  0.7831325301204819;   0.552569305896759;   	0.8; 		0.0008
04:20 ;		 		1; 	   6;  		0; 		11;		0.442041854542422;   0.8554216867469879;   0.48282811641693113; 	0.7; 		0.0008
04:21 ;		 		1; 	   6;  		0; 		12;		0.4459200278822198;  0.8433734939759037;   0.49469279050827025; 	0.8; 		0.0008
04:22 ;		 		1; 	   6;  		0; 		13;		0.44970805960965443; 0.8072289156626506;   0.570774245262146;   	0.7; 		0.0008
04:22 ;		 		1; 	   6;  		0; 		14;		0.3615107400769211;  0.891566265060241;    0.49706544876098635; 	0.7; 		0.0008
04:23 ;		 		1; 	   6;  		0; 		15;		0.3386565953134054;  0.9036144578313253;   0.6126809597015381;  	0.7; 		0.0008
04:24 ;		 		1; 	   6;  		0; 		16;		0.3601535585630371;  0.8554216867469879;   0.5805398225784302;  	0.6; 		0.0008
04:44 ;		 		 ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;      	ValAcc; 	LR
04:44 ;		 		2; 6; 1; 0; 0.6784450269880749; 0.5714285714285714; 0.6759258389472962; 0.8; 0.0008
04:45 ;		 		2; 6; 1; 1; 0.6567086151668003; 0.6309523809523809; 0.6571760892868042; 0.6; 0.0008
04:45 ;		 		2; 6; 1; 2; 0.6265144007546561; 0.7619047619047619; 0.6357052803039551; 0.7; 0.0008
04:46 ;		 		2; 6; 1; 3; 0.6212020488012404; 0.7738095238095238; 0.6226323962211608; 0.7; 0.0008
04:47 ;		 		2; 6; 1; 4; 0.5874879757563273; 0.7380952380952381; 0.6327204465866089; 0.5; 0.0008
04:47 ;		 		2; 6; 1; 5; 0.5589311236426944; 0.7738095238095238; 0.5809028506278991; 0.7; 0.0008
04:48 ;		 		2; 6; 1; 6; 0.5253537581080482; 0.8333333333333334; 0.5720630645751953; 0.8; 0.0008
04:48 ;		 		2; 6; 1; 7; 0.5079766086169651; 0.8333333333333334; 0.5385554909706116; 0.9; 0.0008
04:49 ;		 		2; 6; 1; 8; 0.4477000946090335; 0.8452380952380952; 0.5942509293556213; 0.6; 0.0008
04:49 ;		 		2; 6; 1; 9; 0.45607690300260273; 0.8333333333333334; 0.48754134178161623; 0.8; 0.0008
04:50 ;		 		2; 6; 1; 10; 0.40637792008263723; 0.8809523809523809; 0.700960659980774; 0.5; 0.0008
04:51 ;		 		2; 6; 1; 11; 0.3860730386915661; 0.8690476190476191; 0.4380269408226013; 0.9; 0.0008
04:51 ;		 		2; 6; 1; 12; 0.4022288464364551; 0.7976190476190477; 0.745290745049715; 0.5; 0.0008
04:52 ;		 		2; 6; 1; 13; 0.3552291066873641; 0.8452380952380952; 0.36518700122833253; 0.9; 0.0008
04:52 ;		 		2; 6; 1; 14; 0.4029899963310787; 0.8214285714285714; 0.3693063974380493; 0.9; 0.0008
04:53 ;		 		2; 6; 1; 15; 0.32902709926877705; 0.8571428571428571; 0.45070084631443025; 0.8; 0.0008
04:54 ;		 		2; 6; 1; 16; 0.29920522230012075; 0.8452380952380952; 0.31220937967300416; 0.9; 0.0008
04:54 ;		 		2; 6; 1; 17; 0.2747733706519717; 0.8571428571428571; 0.28765058517456055; 1.0; 0.0008
04:55 ;		 		2; 6; 1; 18; 0.28880536201454343; 0.8928571428571429; 0.30379613637924197; 0.9; 0.0008
04:56 ;		 		2; 6; 1; 19; 0.2508159826199214; 0.8928571428571429; 0.2925415724515915; 0.9; 0.0008
04:56 ;		 		2; 6; 1; 20; 0.2303085114274706; 0.9404761904761905; 0.31094688177108765; 0.9; 0.0008
04:57 ;		 		2; 6; 1; 21; 0.29432888116155353; 0.8690476190476191; 0.3009186863899231; 0.9; 0.0008
04:58 ;		 		2; 6; 1; 22; 0.27770070305892397; 0.8690476190476191; 0.3985890597105026; 0.7; 0.0008
04:58 ;		 		 ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;   ValAcc; 	LR
04:58 ;		 		3; 6; 2; 0; 0.6901274181547619; 0.5119047619047619; 0.6860062599182128; 0.5; 0.0008
04:59 ;		 		3; 6; 2; 1; 0.666158778326852; 0.6666666666666666; 0.6668555498123169; 0.6; 0.0008
05:00 ;		 		3; 6; 2; 2; 0.6425320335796901; 0.6547619047619048; 0.6511347532272339; 0.6; 0.0008
05:00 ;		 		3; 6; 2; 3; 0.6190361976623535; 0.7619047619047619; 0.6101564168930054; 0.7; 0.0008
05:01 ;		 		3; 6; 2; 4; 0.5853934827305022; 0.7857142857142857; 0.5854058921337127; 0.9; 0.0008
05:02 ;		 		3; 6; 2; 5; 0.5403421975317455; 0.7857142857142857; 0.6269450306892395; 0.6; 0.0008
05:03 ;		 		3; 6; 2; 6; 0.5331166202113742; 0.7380952380952381; 0.5059928476810456; 0.9; 0.0008
05:03 ;		 		3; 6; 2; 7; 0.5068578947158087; 0.75; 0.49715456962585447; 0.8; 0.0008
05:04 ;		 		3; 6; 2; 8; 0.45569739171436857; 0.8095238095238095; 0.6313592791557312; 0.5; 0.0008
05:05 ;		 		3; 6; 2; 9; 0.42799227720215205; 0.8095238095238095; 0.40901936292648317; 0.9; 0.0008
05:05 ;		 		3; 6; 2; 10; 0.45232040825344266; 0.7857142857142857; 0.35765849351882933; 0.9; 0.0008
05:06 ;		 		3; 6; 2; 11; 0.4296344007764544; 0.8452380952380952; 0.7347998857498169; 0.6; 0.0008
05:07 ;		 		3; 6; 2; 12; 0.3958622529393151; 0.8571428571428571; 0.8344668343663215; 0.6; 0.0008
05:07 ;		 		3; 6; 2; 13; 0.4045916270642054; 0.8095238095238095; 0.7873030662536621; 0.5; 0.0008
05:08 ;		 		3; 6; 2; 14; 0.34698824939273654; 0.8928571428571429; 0.5404530204832554; 0.7; 0.0008
05:09 ;		 		3; 6; 2; 15; 0.34015576186634244; 0.8690476190476191; 0.3759590744972229; 0.9; 0.0008
05:09 ;		 		 ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;    ValAcc; 	LR
05:09 ;		 		4; 6; 3; 0; 0.6983479488463629; 0.47619047619047616; 0.6859420657157898; 0.5; 0.0008
05:10 ;		 		4; 6; 3; 1; 0.6635563941228957; 0.7023809523809523; 0.6772267460823059; 0.5; 0.0008
05:11 ;		 		4; 6; 3; 2; 0.6414996073359535; 0.6071428571428571; 0.6769059836864472; 0.5; 0.0008
05:11 ;		 		4; 6; 3; 3; 0.6075674777939206; 0.7142857142857143; 0.6283035516738892; 0.6; 0.0008
05:12 ;		 		4; 6; 3; 4; 0.5750428636868795; 0.7619047619047619; 0.6203928112983703; 0.6; 0.0008
05:13 ;		 		4; 6; 3; 5; 0.5508440562656948; 0.7857142857142857; 0.5336750864982605; 0.9; 0.0008
05:14 ;		 		4; 6; 3; 6; 0.5502854386965433; 0.7857142857142857; 0.568709671497345; 0.7; 0.0008
05:14 ;		 		4; 6; 3; 7; 0.4872912395568121; 0.8214285714285714; 0.49407249689102173; 0.8; 0.0008
05:15 ;		 		4; 6; 3; 8; 0.4709241347653525; 0.8214285714285714; 0.48180599212646485; 0.9; 0.0008
05:16 ;		 		4; 6; 3; 9; 0.44672614903677077; 0.8333333333333334; 0.4237541615962982; 0.7; 0.0008
05:17 ;		 		4; 6; 3; 10; 0.4947876901853652; 0.7976190476190477; 0.40008226633071897; 0.9; 0.0008
05:17 ;		 		4; 6; 3; 11; 0.4086281316620963; 0.8214285714285714; 0.6624174371361733; 0.6; 0.0008
05:18 ;		 		4; 6; 3; 12; 0.4496054791268848; 0.7976190476190477; 0.35667232275009153; 1.0; 0.0008
05:19 ;		 		4; 6; 3; 13; 0.4209159030800774; 0.7976190476190477; 0.36158881783485414; 1.0; 0.0008
05:20 ;		 		4; 6; 3; 14; 0.33862622011275517; 0.9047619047619048; 0.3173185020685196; 1.0; 0.0008
05:20 ;		 		4; 6; 3; 15; 0.31586333612600964; 0.8809523809523809; 0.5211266994476318; 0.7; 0.0008
05:21 ;		 		4; 6; 3; 16; 0.3351895206031345; 0.8452380952380952; 0.3323902428150177; 1.0; 0.0008
05:22 ;		 		4; 6; 3; 17; 0.36319816538265776; 0.8571428571428571; 0.3155241012573242; 0.9; 0.0008
05:23 ;		 		4; 6; 3; 18; 0.3902733680747804; 0.8333333333333334; 0.2949489116668701; 0.9; 0.0008
05:23 ;		 		4; 6; 3; 19; 0.3836744413489387; 0.8214285714285714; 0.5397875919938088; 0.6; 0.0008
05:24 ;		 		4; 6; 3; 20; 0.2599960224969046; 0.8928571428571429; 0.26264533400535583; 0.9; 0.0008
05:25 ;		 		4; 6; 3; 21; 0.33799440945897785; 0.8571428571428571; 0.3712207689881325; 0.8; 0.0008
05:26 ;		 		4; 6; 3; 22; 0.3069221107732682; 0.8690476190476191; 0.26309387683868407; 0.9; 0.0008
05:27 ;		 		4; 6; 3; 23; 0.28685010756765095; 0.8690476190476191; 0.3256862089037895; 0.8; 0.0008
05:27 ;		 		4; 6; 3; 24; 0.33979477555978865; 0.8452380952380952; 0.2372233122587204; 1.0; 0.0008
05:28 ;		 		4; 6; 3; 25; 0.32308228952544077; 0.8809523809523809; 0.5739225745201111; 0.6; 0.0008
05:29 ;		 		4; 6; 3; 26; 0.3972677219481695; 0.8214285714285714; 0.5601922832429409; 0.7; 0.0008
05:30 ;		 		4; 6; 3; 27; 0.31361512059257146; 0.8571428571428571; 0.2427978813648224; 0.9; 0.0008
05:30 ;		 		4; 6; 3; 28; 0.3001650557631538; 0.8809523809523809; 0.2664376847445965; 0.9; 0.0008
05:31 ;		 		4; 6; 3; 29; 0.2410443907692319; 0.9166666666666666; 0.32552716732025144; 0.9; 0.0008
05:31 ;		 		 ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;    ValAcc; 	LR
05:32 ;		 		5; 9; 0; 0; 0.6917468833636089; 0.4939759036144578; 0.6786627888679504; 0.7; 0.0008
05:33 ;		 		5; 9; 0; 1; 0.6595301829188703; 0.6987951807228916; 0.6644094228744507; 0.7; 0.0008
05:33 ;		 		5; 9; 0; 2; 0.6568589540849249; 0.5542168674698795; 0.6459569931030273; 0.6; 0.0008
05:34 ;		 		5; 9; 0; 3; 0.6282890474939921; 0.6506024096385542; 0.6230345129966736; 0.7; 0.0008
05:35 ;		 		5; 9; 0; 4; 0.6319808694253485; 0.7349397590361446; 0.581322193145752; 0.7; 0.0008
05:36 ;		 		5; 9; 0; 5; 0.6116593681186079; 0.7228915662650602; 0.5692423939704895; 0.8; 0.0008
05:36 ;		 		5; 9; 0; 6; 0.598928047231881; 0.7108433734939759; 0.5608666419982911; 0.8; 0.0008
05:37 ;		 		5; 9; 0; 7; 0.5733770455222532; 0.7590361445783133; 0.5738421678543091; 0.8; 0.0008
05:38 ;		 		5; 9; 0; 8; 0.5158657794257244; 0.8192771084337349; 0.5501296877861023; 0.7; 0.0008
05:39 ;		 		5; 9; 0; 9; 0.5315611901053463; 0.7349397590361446; 0.5489093482494354; 0.7; 0.0008
05:39 ;		 		5; 9; 0; 10; 0.4803006333040904; 0.8192771084337349; 0.6159709930419922; 0.6; 0.0008
05:40 ;		 		5; 9; 0; 11; 0.4439409375190735; 0.8795180722891566; 0.43071707487106325; 0.9; 0.0008
05:41 ;		 		5; 9; 0; 12; 0.4416478865117912; 0.8192771084337349; 0.5262914657592773; 0.8; 0.0008
