18:25 ; Model; ExpID; OUTER_FOLD; INNER_FOLD; HPset; epoch;  T_loss;    V_loss;    val_auc;    th_star;    LR;    no_improve;
18:51 ;		 MultiViewCNN;    6;    0;    1;    2;    06;    0.6257;    0.6258    0.8235;    0.563268;    0.0005;    03;
18:52 ;		 MultiViewCNN;    6;    0;    1;    2;    07;    0.6173;    0.6170    0.8297;    0.537138;    0.0005;    04;
18:52 ;		 MultiViewCNN;    10;    0;    2;    2;    00;    0.6848;    0.6864    0.7059;    0.493408;    0.0005;    00;
18:53 ;		 MultiViewCNN;    10;    0;    2;    2;    01;    0.6729;    0.6834    0.6502;    0.489649;    0.0005;    00;
18:54 ;		 MultiViewCNN;    10;    0;    2;    2;    02;    0.6726;    0.6780    0.6594;    0.476511;    0.0005;    01;
18:54 ;		 MultiViewCNN;    10;    0;    2;    2;    03;    0.6597;    0.6674    0.6749;    0.543662;    0.0005;    02;
18:55 ;		 MultiViewCNN;    10;    0;    2;    2;    04;    0.6348;    0.6556    0.7214;    0.584908;    0.0005;    03;
18:55 ;		 MultiViewCNN;    10;    0;    2;    2;    05;    0.6443;    0.6463    0.7307;    0.605290;    0.0005;    00;
18:56 ;		 MultiViewCNN;    10;    0;    2;    2;    06;    0.6102;    0.6441    0.7152;    0.577605;    0.0005;    00;
18:56 ;		 MultiViewCNN;    10;    0;    2;    2;    07;    0.6290;    0.6430    0.7090;    0.596371;    0.0005;    01;
18:57 ;		 MultiViewCNN;    10;    0;    2;    2;    08;    0.6037;    0.6219    0.7523;    0.581347;    0.0005;    02;
18:57 ;		 MultiViewCNN;    10;    0;    2;    2;    09;    0.5959;    0.6203    0.7492;    0.651514;    0.0005;    00;
18:58 ;		 MultiViewCNN;    10;    0;    2;    2;    10;    0.5743;    0.6239    0.7430;    0.667683;    0.0005;    01;
18:58 ;		 MultiViewCNN;    10;    0;    2;    2;    11;    0.5859;    0.6051    0.7616;    0.650906;    0.0005;    02;
18:59 ;		 MultiViewCNN;    10;    0;    2;    2;    12;    0.5437;    0.6136    0.7554;    0.511281;    0.0005;    00;
18:59 ;		 MultiViewCNN;    10;    0;    2;    2;    13;    0.5563;    0.6072    0.7492;    0.682003;    0.0005;    01;
19:00 ;		 MultiViewCNN;    10;    0;    2;    2;    14;    0.5667;    0.6273    0.7245;    0.713318;    0.00025;    02;
19:00 ;		 MultiViewCNN;    10;    0;    2;    2;    15;    0.5284;    0.5929    0.7585;    0.631105;    0.00025;    03;
19:01 ;		 MultiViewCNN;    10;    0;    2;    2;    16;    0.5064;    0.5914    0.7957;    0.508650;    0.00025;    04;
19:01 ;		 MultiViewCNN;    10;    0;    2;    2;    17;    0.5039;    0.5902    0.7647;    0.556590;    0.00025;    00;
19:02 ;		 MultiViewCNN;    10;    0;    2;    2;    18;    0.5226;    0.5936    0.7523;    0.662486;    0.00025;    01;
19:02 ;		 MultiViewCNN;    10;    0;    2;    2;    19;    0.4717;    0.6150    0.7492;    0.686110;    0.00025;    02;
19:03 ;		 MultiViewCNN;    10;    0;    2;    2;    20;    0.5614;    0.5722    0.7926;    0.588867;    0.00025;    03;
19:04 ;		 MultiViewCNN;    10;    0;    2;    2;    21;    0.4776;    0.6181    0.7709;    0.552407;    0.00025;    04;
