ExpID,HP_Set,OuterFold_4,Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc,LR,Model
1,6,0,0,0.6964190839284874,0.4698795180722891,0.6844775915145874,0.7,0.0008,MultiViewCNN
1,6,0,1,0.673096253929368,0.6626506024096386,0.6692372798919678,0.7,0.0008,MultiViewCNN
1,6,0,2,0.6578437858317272,0.7590361445783133,0.6561217784881592,0.7,0.0008,MultiViewCNN
1,6,0,3,0.6427873035511339,0.7108433734939759,0.6508355855941772,0.7,0.0008,MultiViewCNN
1,6,0,4,0.626433746642377,0.7349397590361446,0.6346700191497803,0.5,0.0008,MultiViewCNN
1,6,0,5,0.606322616697794,0.7228915662650602,0.6327584981918335,0.5,0.0008,MultiViewCNN
1,6,0,6,0.5821450970259058,0.7469879518072289,0.6099665641784668,0.6,0.0008,MultiViewCNN
1,6,0,7,0.5784182602382568,0.7831325301204819,0.680917501449585,0.5,0.0008,MultiViewCNN
1,6,0,8,0.5274666655494507,0.7951807228915663,0.5772682189941406,0.6,0.0008,MultiViewCNN
1,6,0,9,0.5204933716590145,0.8072289156626506,0.530184143781662,0.7,0.0008,MultiViewCNN
1,6,0,10,0.5106293349021889,0.7831325301204819,0.552569305896759,0.8,0.0008,MultiViewCNN
1,6,0,11,0.442041854542422,0.8554216867469879,0.4828281164169311,0.7,0.0008,MultiViewCNN
1,6,0,12,0.4459200278822198,0.8433734939759037,0.4946927905082702,0.8,0.0008,MultiViewCNN
1,6,0,13,0.4497080596096544,0.8072289156626506,0.570774245262146,0.7,0.0008,MultiViewCNN
1,6,0,14,0.3615107400769211,0.891566265060241,0.4970654487609863,0.7,0.0008,MultiViewCNN
1,6,0,15,0.3386565953134054,0.9036144578313252,0.6126809597015381,0.7,0.0008,MultiViewCNN
1,6,0,16,0.3601535585630371,0.8554216867469879,0.5805398225784302,0.6,0.0008,MultiViewCNN
2,6,1,0,0.6784450269880749,0.5714285714285714,0.6759258389472962,0.8,0.0008,MultiViewCNN
2,6,1,1,0.6567086151668003,0.6309523809523809,0.6571760892868042,0.6,0.0008,MultiViewCNN
2,6,1,2,0.6265144007546561,0.7619047619047619,0.6357052803039551,0.7,0.0008,MultiViewCNN
2,6,1,3,0.6212020488012404,0.7738095238095238,0.6226323962211608,0.7,0.0008,MultiViewCNN
2,6,1,4,0.5874879757563273,0.7380952380952381,0.6327204465866089,0.5,0.0008,MultiViewCNN
2,6,1,5,0.5589311236426944,0.7738095238095238,0.5809028506278991,0.7,0.0008,MultiViewCNN
2,6,1,6,0.5253537581080482,0.8333333333333334,0.5720630645751953,0.8,0.0008,MultiViewCNN
2,6,1,7,0.5079766086169651,0.8333333333333334,0.5385554909706116,0.9,0.0008,MultiViewCNN
2,6,1,8,0.4477000946090335,0.8452380952380952,0.5942509293556213,0.6,0.0008,MultiViewCNN
2,6,1,9,0.4560769030026027,0.8333333333333334,0.4875413417816162,0.8,0.0008,MultiViewCNN
2,6,1,10,0.4063779200826372,0.8809523809523809,0.700960659980774,0.5,0.0008,MultiViewCNN
2,6,1,11,0.3860730386915661,0.8690476190476191,0.4380269408226013,0.9,0.0008,MultiViewCNN
2,6,1,12,0.4022288464364551,0.7976190476190477,0.745290745049715,0.5,0.0008,MultiViewCNN
2,6,1,13,0.3552291066873641,0.8452380952380952,0.3651870012283325,0.9,0.0008,MultiViewCNN
2,6,1,14,0.4029899963310787,0.8214285714285714,0.3693063974380493,0.9,0.0008,MultiViewCNN
2,6,1,15,0.329027099268777,0.8571428571428571,0.4507008463144302,0.8,0.0008,MultiViewCNN
2,6,1,16,0.2992052223001207,0.8452380952380952,0.3122093796730041,0.9,0.0008,MultiViewCNN
2,6,1,17,0.2747733706519717,0.8571428571428571,0.2876505851745605,1.0,0.0008,MultiViewCNN
2,6,1,18,0.2888053620145434,0.8928571428571429,0.3037961363792419,0.9,0.0008,MultiViewCNN
2,6,1,19,0.2508159826199214,0.8928571428571429,0.2925415724515915,0.9,0.0008,MultiViewCNN
2,6,1,20,0.2303085114274706,0.9404761904761904,0.3109468817710876,0.9,0.0008,MultiViewCNN
2,6,1,21,0.2943288811615535,0.8690476190476191,0.3009186863899231,0.9,0.0008,MultiViewCNN
2,6,1,22,0.2777007030589239,0.8690476190476191,0.3985890597105026,0.7,0.0008,MultiViewCNN
3,6,2,0,0.6901274181547619,0.5119047619047619,0.6860062599182128,0.5,0.0008,MultiViewCNN
3,6,2,1,0.666158778326852,0.6666666666666666,0.6668555498123169,0.6,0.0008,MultiViewCNN
3,6,2,2,0.6425320335796901,0.6547619047619048,0.6511347532272339,0.6,0.0008,MultiViewCNN
3,6,2,3,0.6190361976623535,0.7619047619047619,0.6101564168930054,0.7,0.0008,MultiViewCNN
3,6,2,4,0.5853934827305022,0.7857142857142857,0.5854058921337127,0.9,0.0008,MultiViewCNN
3,6,2,5,0.5403421975317455,0.7857142857142857,0.6269450306892395,0.6,0.0008,MultiViewCNN
3,6,2,6,0.5331166202113742,0.7380952380952381,0.5059928476810456,0.9,0.0008,MultiViewCNN
3,6,2,7,0.5068578947158087,0.75,0.4971545696258544,0.8,0.0008,MultiViewCNN
3,6,2,8,0.4556973917143685,0.8095238095238095,0.6313592791557312,0.5,0.0008,MultiViewCNN
3,6,2,9,0.427992277202152,0.8095238095238095,0.4090193629264831,0.9,0.0008,MultiViewCNN
3,6,2,10,0.4523204082534426,0.7857142857142857,0.3576584935188293,0.9,0.0008,MultiViewCNN
3,6,2,11,0.4296344007764544,0.8452380952380952,0.7347998857498169,0.6,0.0008,MultiViewCNN
3,6,2,12,0.3958622529393151,0.8571428571428571,0.8344668343663215,0.6,0.0008,MultiViewCNN
3,6,2,13,0.4045916270642054,0.8095238095238095,0.7873030662536621,0.5,0.0008,MultiViewCNN
3,6,2,14,0.3469882493927365,0.8928571428571429,0.5404530204832554,0.7,0.0008,MultiViewCNN
3,6,2,15,0.3401557618663424,0.8690476190476191,0.3759590744972229,0.9,0.0008,MultiViewCNN
4,6,3,0,0.6983479488463629,0.4761904761904761,0.6859420657157898,0.5,0.0008,MultiViewCNN
4,6,3,1,0.6635563941228957,0.7023809523809523,0.6772267460823059,0.5,0.0008,MultiViewCNN
4,6,3,2,0.6414996073359535,0.6071428571428571,0.6769059836864472,0.5,0.0008,MultiViewCNN
4,6,3,3,0.6075674777939206,0.7142857142857143,0.6283035516738892,0.6,0.0008,MultiViewCNN
4,6,3,4,0.5750428636868795,0.7619047619047619,0.6203928112983703,0.6,0.0008,MultiViewCNN
4,6,3,5,0.5508440562656948,0.7857142857142857,0.5336750864982605,0.9,0.0008,MultiViewCNN
4,6,3,6,0.5502854386965433,0.7857142857142857,0.568709671497345,0.7,0.0008,MultiViewCNN
4,6,3,7,0.4872912395568121,0.8214285714285714,0.4940724968910217,0.8,0.0008,MultiViewCNN
4,6,3,8,0.4709241347653525,0.8214285714285714,0.4818059921264648,0.9,0.0008,MultiViewCNN
4,6,3,9,0.4467261490367707,0.8333333333333334,0.4237541615962982,0.7,0.0008,MultiViewCNN
4,6,3,10,0.4947876901853652,0.7976190476190477,0.4000822663307189,0.9,0.0008,MultiViewCNN
4,6,3,11,0.4086281316620963,0.8214285714285714,0.6624174371361733,0.6,0.0008,MultiViewCNN
4,6,3,12,0.4496054791268848,0.7976190476190477,0.3566723227500915,1.0,0.0008,MultiViewCNN
4,6,3,13,0.4209159030800774,0.7976190476190477,0.3615888178348541,1.0,0.0008,MultiViewCNN
4,6,3,14,0.3386262201127551,0.9047619047619048,0.3173185020685196,1.0,0.0008,MultiViewCNN
4,6,3,15,0.3158633361260096,0.8809523809523809,0.5211266994476318,0.7,0.0008,MultiViewCNN
4,6,3,16,0.3351895206031345,0.8452380952380952,0.3323902428150177,1.0,0.0008,MultiViewCNN
4,6,3,17,0.3631981653826577,0.8571428571428571,0.3155241012573242,0.9,0.0008,MultiViewCNN
4,6,3,18,0.3902733680747804,0.8333333333333334,0.2949489116668701,0.9,0.0008,MultiViewCNN
4,6,3,19,0.3836744413489387,0.8214285714285714,0.5397875919938088,0.6,0.0008,MultiViewCNN
4,6,3,20,0.2599960224969046,0.8928571428571429,0.2626453340053558,0.9,0.0008,MultiViewCNN
4,6,3,21,0.3379944094589778,0.8571428571428571,0.3712207689881325,0.8,0.0008,MultiViewCNN
4,6,3,22,0.3069221107732682,0.8690476190476191,0.263093876838684,0.9,0.0008,MultiViewCNN
4,6,3,23,0.2868501075676509,0.8690476190476191,0.3256862089037895,0.8,0.0008,MultiViewCNN
4,6,3,24,0.3397947755597886,0.8452380952380952,0.2372233122587204,1.0,0.0008,MultiViewCNN
