Model,outer_fold,inner_fold,paramID,LR,WD,DR,epochs,epoch,val_loss,best_val_loss,fold,avg_val_loss
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,2.0,0.6829310174911253,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,3.0,0.679227432897014,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,4.0,0.6774434620334256,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,5.0,0.6759451608504018,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,6.0,0.6800379330112089,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,7.0,0.6751129954091964,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,8.0,0.6615718160906146,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,9.0,0.6613299596694208,,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,,,0.6613,,
MultiViewCNN,0,0,2,,,,,,,,0.0,0.654
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,0.0,0.695153913190288,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,1.0,0.6881065464788868,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,2.0,0.6792734707555463,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,3.0,0.6680070469456334,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,4.0,0.6615283046999285,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,5.0,0.6540074329222402,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,6.0,0.656575414442247,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,7.0,0.6512460054889802,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,8.0,0.6417656194779181,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,9.0,0.628627021466532,,,
MultiViewCNN,0,0,3,0.0005,0.0001,0.4,10.0,,,0.6286,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,0.0,0.6942605510834725,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,1.0,0.6899459746576124,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,2.0,0.6843300596360238,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,3.0,0.6773158696389967,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,4.0,0.668110595595452,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,5.0,0.6634251513788777,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,6.0,0.6627892121191947,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,7.0,0.657326502184714,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,8.0,0.6479431467671548,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,9.0,0.6397476196289062,,,
MultiViewCNN,0,1,3,0.0005,0.0001,0.4,10.0,,,0.6397,,
MultiViewCNN,0,2,3,0.0005,0.0001,0.4,10.0,0.0,0.6925809748711125,,,
MultiViewCNN,0,2,3,0.0005,0.0001,0.4,10.0,1.0,0.6912758831054934,,,
MultiViewCNN,0,2,3,0.0005,0.0001,0.4,10.0,2.0,0.6899795205362381,,,
MultiViewCNN,0,2,3,0.0005,0.0001,0.4,10.0,3.0,0.6904030192282892,,,
MultiViewCNN,0,2,3,0.0005,0.0001,0.4,10.0,4.0,0.6922327356953775,,,
MultiViewCNN,0,2,3,0.0005,0.0001,0.4,10.0,5.0,0.6972518640179788,,,
MultiViewCNN,0,2,3,0.0005,0.0001,0.4,10.0,,,0.69,,
MultiViewCNN,0,0,3,,,,,,,,0.0,0.6528
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,0.0,0.6909535354183566,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,1.0,0.6858956775357646,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,2.0,0.6825907672605207,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,3.0,0.6749709902271148,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,4.0,0.6702430901988861,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,5.0,0.6580509812601151,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,6.0,0.6710044491675592,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,7.0,0.6665979546885337,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,8.0,0.6571051055385221,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,9.0,0.6545454398278268,,,
MultiViewCNN,0,0,4,0.0005,1e-06,0.2,10.0,,,0.6545,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,0.0,0.6887653893040072,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,1.0,0.6776576965085922,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,2.0,0.6648382044607594,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,3.0,0.6528744063069744,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,4.0,0.6435684696320565,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,5.0,0.6405328992874392,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,6.0,0.628041725004873,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,7.0,0.6130398531113902,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,8.0,0.5958601082524946,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,9.0,0.6053047756994924,,,
MultiViewCNN,0,1,4,0.0005,1e-06,0.2,10.0,,,0.5959,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,0.0,0.6924295290823905,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,1.0,0.6887779178157929,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,2.0,0.6893815032897457,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,3.0,0.6884229413924678,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,4.0,0.6914800501638844,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,5.0,0.6805763975266488,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,6.0,0.6788757174245773,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,7.0,0.652077434524413,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,8.0,0.6435746569787303,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,9.0,0.6529881088964401,,,
MultiViewCNN,0,2,4,0.0005,1e-06,0.2,10.0,,,0.6436,,
MultiViewCNN,0,0,4,,,,,,,,0.0,0.6313
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,0.0,0.68578036562089,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,1.0,0.6833367174671542,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,2.0,0.6788837486697782,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,3.0,0.6734705009768086,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,4.0,0.6686648649554099,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,5.0,0.6635093823555978,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,6.0,0.658488554339255,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,7.0,0.6555526006606317,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,8.0,0.6521398348193015,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,9.0,0.6507035820714889,,,
MultiViewCNN,0,0,5,0.0002,0.0001,0.2,10.0,,,0.6507,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,0.0,0.693235122388409,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,1.0,0.6918998379861155,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,2.0,0.689290588901889,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,3.0,0.6855429237888705,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,4.0,0.6814116624093824,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,5.0,0.6744874888850797,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,6.0,0.6694410174123703,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,7.0,0.6641458407525094,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,8.0,0.6569922950959974,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,9.0,0.6520584014154249,,,
MultiViewCNN,0,1,5,0.0002,0.0001,0.2,10.0,,,0.6521,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,0.0,0.6959436805017533,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,1.0,0.6939005121108024,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,2.0,0.6910485490675895,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,3.0,0.6898634395291728,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,4.0,0.688413800731782,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,5.0,0.6842479244355233,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,6.0,0.6828711878868842,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,7.0,0.6815444788625163,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,8.0,0.6823333521043101,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,9.0,0.6806101183737477,,,
MultiViewCNN,0,2,5,0.0002,0.0001,0.2,10.0,,,0.6806,,
MultiViewCNN,0,0,5,,,,,,,,0.0,0.6611
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,0.0,0.6853285393407268,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,1.0,0.6754782680542238,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,2.0,0.6631998362079743,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,3.0,0.6528442944249799,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,4.0,0.6407761170018104,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,5.0,0.6490193336240707,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,6.0,0.6199222264751312,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,7.0,0.6105454852504115,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,8.0,0.5972179962742713,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,9.0,0.5826404959924759,,,
MultiViewCNN,0,0,6,0.0008,0.0001,0.2,10.0,,,0.5826,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,0.0,0.6895791426781686,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,1.0,0.6767370796972706,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,2.0,0.6572926621283254,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,3.0,0.6371915571151241,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,4.0,0.6238413414647502,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,5.0,0.6187542619243744,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,6.0,0.5942513269762839,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,7.0,0.6041173261980857,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,8.0,0.5707673911125429,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,9.0,0.5976754542320005,,,
MultiViewCNN,0,1,6,0.0008,0.0001,0.2,10.0,,,0.5708,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,0.0,0.6906241774559021,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,1.0,0.6860285978163442,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,2.0,0.6820986367041065,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,3.0,0.6812216658746043,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,4.0,0.6804573401328056,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,5.0,0.6985365556132409,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,6.0,0.6662395942595697,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,7.0,0.6777482244276232,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,8.0,0.6972416773919137,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,9.0,0.6821295253692135,,,
MultiViewCNN,0,2,6,0.0008,0.0001,0.2,10.0,,,0.6662,,
MultiViewCNN,0,0,6,,,,,,,,0.0,0.6065
