08/31/25 - 16:36 ;		 Model;OuterFold;HP;Epoch;TrainLoss;TrainAcc;ValLoss;ValAcc;AUC;Brier;EMA_ValLoss;LR;NoImprove;LrDrop;EsTriggered;BestValLoss;BestEpoch
08/31/25 - 16:37 ;		 MultiViewCNN;1;11;0;0.69098879271243;0.5662650602409639;0.6880049467086792;0.8;0.88;0.2474289547766662;0.6880049467086792;0.0002;0;0;0;0.6880049467086792;0
08/31/25 - 16:38 ;		 MultiViewCNN;1;11;1;0.6798387435545404;0.6506024096385542;0.6772641181945801;0.9;0.9600000000000001;0.24206060487202405;0.6847826981544494;0.0002;0;0;0;0.6772641181945801;1
08/31/25 - 16:38 ;		 MultiViewCNN;1;11;2;0.6736558309520584;0.6867469879518072;0.6666294574737549;0.7;0.92;0.23678862829957065;0.679336725950241;0.0002;0;0;0;0.6666294574737549;2
08/31/25 - 16:39 ;		 MultiViewCNN;1;11;3;0.6563351592385626;0.6626506024096386;0.6632051348686219;0.6;0.88;0.23520458849908793;0.6744972486257552;0.0002;0;0;0;0.6632051348686219;3
08/31/25 - 16:40 ;		 MultiViewCNN;1;11;4;0.6499067537755852;0.6385542168674698;0.662507426738739;0.6;0.76;0.23504820529242468;0.6709003020596502;0.0002;0;0;0;0.662507426738739;4
08/31/25 - 16:40 ;		 MultiViewCNN;1;11;5;0.6515722447131054;0.6746987951807228;0.6573464691638946;0.6;0.76;0.23261514945786105;0.6668341521909236;0.0002;0;0;0;0.6573464691638946;5
08/31/25 - 16:41 ;		 MultiViewCNN;1;11;6;0.6486546253583517;0.6987951807228916;0.6464394330978394;0.6;0.8400000000000001;0.22719070065202346;0.6607157364629983;0.0002;0;0;0;0.6464394330978394;6
08/31/25 - 16:41 ;		 MultiViewCNN;1;11;7;0.6333127416760088;0.6746987951807228;0.6427073538303375;0.6;0.8400000000000001;0.22543851285498562;0.6553132216732;0.0002;0;0;0;0.6427073538303375;7
08/31/25 - 16:42 ;		 MultiViewCNN;1;11;8;0.6313442257513483;0.6867469879518072;0.6339421510696411;0.7;0.92;0.2210131796242032;0.6489019004921324;0.0002;0;0;0;0.6339421510696411;8
08/31/25 - 16:42 ;		 MultiViewCNN;1;11;9;0.6230572138924196;0.6987951807228916;0.6318220973014832;0.7;0.88;0.2202733972891374;0.6437779595349375;0.0002;0;0;0;0.6318220973014832;9
08/31/25 - 16:43 ;		 MultiViewCNN;1;11;10;0.6211635621197252;0.6987951807228916;0.6137871682643891;0.8;0.92;0.21113721231677926;0.634780722153773;0.0002;0;0;0;0.6137871682643891;10
08/31/25 - 16:43 ;		 MultiViewCNN;1;11;11;0.60607144703348;0.7710843373493976;0.6067776083946228;0.8;0.92;0.2075969953545508;0.6263797880260279;0.0002;0;0;0;0.6067776083946228;11
08/31/25 - 16:44 ;		 MultiViewCNN;1;11;12;0.6069378910294498;0.7349397590361446;0.59898362159729;0.8;0.92;0.20396705216634822;0.6181609380974065;0.0002;0;0;0;0.59898362159729;12
08/31/25 - 16:44 ;		 MultiViewCNN;1;11;13;0.5949492921312172;0.8313253012048193;0.5869112491607666;0.7;0.92;0.1978308483816013;0.6087860314164144;0.0002;0;0;0;0.5869112491607666;13
08/31/25 - 16:45 ;		 MultiViewCNN;1;11;14;0.5994694857712252;0.7228915662650602;0.5782587766647339;0.7;0.92;0.19368667747178617;0.5996278549909102;0.0002;0;0;0;0.5782587766647339;14
08/31/25 - 16:45 ;		 MultiViewCNN;1;11;15;0.5745104457958635;0.7710843373493976;0.5700045168399811;0.7;0.92;0.1899117617221558;0.5907408535456314;0.0002;0;0;0;0.5700045168399811;15
08/31/25 - 16:46 ;		 MultiViewCNN;1;11;16;0.5950302596551826;0.7469879518072289;0.5567651510238647;0.9;0.92;0.18357640182566462;0.5805481427891014;0.0002;0;0;0;0.5567651510238647;16
08/31/25 - 16:46 ;		 MultiViewCNN;1;11;17;0.5586918588862362;0.7951807228915663;0.5470532715320587;0.8;0.9600000000000001;0.1788187280364461;0.5704996814119886;0.0002;0;0;0;0.5470532715320587;17
08/31/25 - 16:47 ;		 MultiViewCNN;1;11;18;0.5744103566709772;0.7228915662650602;0.5381864845752716;0.8;0.92;0.17523163475985007;0.5608057223609735;0.0002;0;0;0;0.5381864845752716;18
08/31/25 - 16:47 ;		 MultiViewCNN;1;11;19;0.5444663770227547;0.8433734939759037;0.5309365153312683;0.9;0.9600000000000001;0.17178526133204935;0.5518449602520619;0.0002;0;0;0;0.5309365153312683;19
08/31/25 - 16:48 ;		 MultiViewCNN;1;11;20;0.5504737410200647;0.7710843373493976;0.5380628824234008;0.8;0.9600000000000001;0.17570916629747665;0.5477103369034635;0.0002;0;0;0;0.5380628824234008;20
08/31/25 - 16:48 ;		 MultiViewCNN;1;11;21;0.5476139424795128;0.7831325301204819;0.5062039732933045;0.9;0.9600000000000001;0.16041363884164078;0.5352584278204158;0.0002;0;0;0;0.5062039732933045;21
08/31/25 - 16:49 ;		 MultiViewCNN;1;11;22;0.5394201278686523;0.7831325301204819;0.510496973991394;0.8;0.88;0.16407746652940833;0.5278299916717092;0.0002;0;0;0;0.510496973991394;22
