timestamp,optimizer,Patience,weight_decay,threshold_cutoff,dropout_rate,padd_size,ker_size,Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Learning Rate,Best Val Loss
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,34,0.2411,0.4379,95.41,73.91,1e-05,0.4208
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,35,0.2246,0.4320,97.25,82.61,1e-05,0.4208
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,36,0.2092,0.4202,96.33,91.30,1e-05,0.4202
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,37,0.2215,0.3976,95.41,91.30,1e-05,0.3976
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,38,0.1979,0.4099,96.33,73.91,1e-05,0.3976
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,39,0.1961,0.4182,97.25,91.30,1e-05,0.3976
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,40,0.1794,0.4348,99.08,73.91,1e-05,0.3976
2025-07-03_18-19,Adam,5,0.001,0.5,0.3,1,3,41,0.2088,0.4344,96.33,73.91,1e-05,0.3976
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,1,0.7510,0.6864,52.29,65.22,1e-05,0.6864
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,2,0.7178,0.6629,59.63,65.22,1e-05,0.6629
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,3,0.6784,0.6308,60.55,73.91,1e-05,0.6308
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,4,0.6123,0.6434,70.64,78.26,1e-05,0.6308
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,5,0.6218,0.6085,69.72,65.22,1e-05,0.6085
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,6,0.5963,0.5944,71.56,73.91,1e-05,0.5944
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,7,0.5730,0.5984,74.31,73.91,1e-05,0.5944
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,8,0.5726,0.5585,75.23,78.26,1e-05,0.5585
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,9,0.5270,0.5467,78.90,78.26,1e-05,0.5467
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,10,0.4832,0.5660,88.99,65.22,1e-05,0.5467
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,11,0.4746,0.5353,80.73,78.26,1e-05,0.5353
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,12,0.4533,0.5233,88.99,78.26,1e-05,0.5233
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,13,0.4662,0.5150,83.49,78.26,1e-05,0.5150
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,14,0.4338,0.5190,88.99,78.26,1e-05,0.5150
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,15,0.4185,0.5115,85.32,86.96,1e-05,0.5115
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,16,0.3832,0.4990,90.83,86.96,1e-05,0.4990
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,17,0.3894,0.4770,88.99,82.61,1e-05,0.4770
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,18,0.3799,0.4929,88.99,78.26,1e-05,0.4770
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,19,0.3362,0.4759,90.83,82.61,1e-05,0.4759
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,20,0.3372,0.4821,89.91,86.96,1e-05,0.4759
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,21,0.3031,0.4909,94.50,78.26,1e-05,0.4759
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,22,0.3403,0.4851,88.99,86.96,1e-05,0.4759
2025-07-03_19-34,Adam,5,0.001,0.5,0.3,1,3,23,0.2889,0.4851,96.33,78.26,1e-05,0.4759
